tower,n_identification,n_oos,frwat0,published_openloop_rmse,manuscript_value,refit_closedloop_rmse,refit_identification_rmse,generalisation_gap,merkel_rmse,delta_vs_merkel,selection,inadmissible_pct,multivalued_pct,sensitivity_min,sensitivity_max,sensitivity_violation_pct,fit_success,FRWat_out_of_domain_pct,FRWat_out_of_domain_pct_no_frwat0,TRan_below_min_pct,TApp_below_min_pct
CT_01,864,35899,1.0744879801060958,0.918384990131536,0.9184,0.7579538629390326,0.3350654697719768,0.42288839316705573,0.8854,-0.1274461370609674,YorkCalc27,0.03806623524933384,0.0,-0.35422198948784156,0.7536390329273072,0.16857904181847844,True,53.570069063026814,53.56191201261624,0.08428952090923922,0.2719016803523846
CT_02,576,866,0.8278585694028229,0.43146174651914354,0.4315,0.2697103687752695,0.1953998114490159,0.0743105573262536,0.5122,-0.2424896312247305,YorkCalc27,0.0,0.0,0.4451716101822745,0.9218063389432947,0.0,True,23.7006237006237,0.0693000693000693,0.0,6.5142065142065135
CT_03,864,41012,1.2656687028423739,0.9344395399444726,0.9344,0.5942424025628411,0.17385708765311558,0.4203853149097255,0.4396,0.15464240256284112,Merkel,0.0,0.0,-0.027120962713003117,1.553755485446543,4.861857344126848,True,85.82515461948086,7.69157293979989,0.03820713040571196,2.0273658571530913
CT_04,864,2650,0.7847657683035416,0.7124030709293496,0.7124,0.4075489613567396,0.43880997340143246,-0.03126101204469284,0.4481,-0.04055103864326037,YorkCalc27,0.0,0.0,0.30498355078256945,1.715847661299089,0.2844950213371266,True,24.039829302987197,27.738264580369844,0.1991465149359886,3.8406827880512093
CT_05,864,9654,0.9701832684756686,0.7853184325099622,0.7853,0.46767669443106946,0.2296194844143697,0.23805721001669977,0.5841,-0.11642330556893049,YorkCalc27,0.0,0.0,0.3049075742172362,1.145814692023901,0.7510219602623823,True,3.2797794467154673,3.2797794467154673,0.047533035459644456,4.924422473619165
CT_06,864,4246,1.3747832100623323,0.3536575743635752,0.3537,0.2975526097557364,0.20075739919274835,0.09679521056298804,0.3564,-0.05884739024426361,YorkCalc27,0.0,0.0,0.6212246553231074,1.0127979345250386,0.17609078458227354,True,97.55429465857954,0.11739385638818234,0.019565642731363724,0.9000195656427314
CT_07,864,27943,1.1437165747437028,0.6042507961860741,0.6043,0.3436111710497242,0.18988154908003857,0.15372962196968565,0.3337,0.009911171049724221,tie,0.0,0.0,0.05082790553020634,1.5304124938006758,4.092613163010276,True,0.031241321855040263,0.03818383782282699,0.013885031935573453,3.9711191335740073
