tower,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27
CT_01,-0.2996762402477002,-0.027494780401551098,0.002915970403113873,0.19716023820589235,-0.010567791491524071,0.0005683248711614623,-0.00548048068191033,0.0006102238210730637,-1.3090117875398695e-05,1.070741429058836,-0.05313044924221305,0.0016946646859690448,0.7476882435248382,-0.010203825027392898,-0.000406365188774139,-0.01628707621601575,4.9483545323068806e-05,3.142499574965172e-05,-0.08563779232735817,-0.0025451023516381717,0.00021603159538617183,-0.15375324393704098,0.0026545936219247454,3.8615832444954916e-05,-0.002811279399651706,8.63779600367984e-06,-1.4770687130550437e-06
CT_02,-0.2675072392242475,-0.027308778950714086,0.002881446746529272,0.2271763176949076,-0.007479683251785909,0.000597394553930493,-0.005428946825124404,0.0006133451956761593,-1.2947317742028118e-05,3.145289732985714,-0.18724084614622113,0.0010615203495340925,1.2487362713065968,-0.018862668351119147,-0.0008107370437852572,-0.025459033652070518,4.8803106275886766e-05,2.8177370805725353e-05,-0.06938412615543904,-0.0024024290430173017,0.0002137175144266397,-0.1154336928044722,0.002572141633027358,3.691661399552665e-05,-0.0035168795847292443,8.558089628472795e-06,-1.5183740671469062e-06
CT_03,-0.3489701045340836,-0.05651439263970149,0.0018021490448468275,0.17201779785246504,-0.02230428236576982,0.0005274901751388055,-0.005604818154630708,0.0005863327210826498,-1.3143572121765786e-05,4.026247844165713,-0.1523706310704887,0.0009281100994201402,1.1589057335571935,-0.01487796027672579,-0.0005572614735354946,-0.0262125833179695,4.887708770144608e-05,2.9481556221729677e-05,-0.06432042107077936,-0.0023112738141588076,0.000213122567854019,-0.0950125020517791,0.0032817319764330303,3.940309666465259e-05,-0.00345804832544771,8.57360687695078e-06,-1.5025405555682999e-06
CT_04,-0.46311822826367277,-0.05938097198692267,0.002040329339311045,0.10422853085383381,-0.013499221728746407,0.0006695264095295701,-0.005511019403434452,0.000671616367767729,-1.1952100165808267e-05,3.851602471948044,-0.13138787606681718,0.0005656152598911484,1.1381965041004847,-0.011835880224465824,-0.0007877677866853626,-0.01683503667581552,4.9650583101747545e-05,3.288020948292093e-05,-0.06734103515975964,-0.0024205355789471547,0.0001671680749768116,-0.12146711488415865,0.002358488580469907,3.432866188737322e-05,-0.003332833644727771,8.580742751658683e-06,-1.5114928366317654e-06
CT_05,-0.2960505451871283,-0.0257046360520495,0.0033363441216875353,0.2133219572181011,-0.0049539792671759245,0.000657017839509509,-0.005457951407202171,0.0006171700341993595,-1.2853896112002645e-05,2.4755148988203635,-0.1572725619014077,0.0011799438840962072,1.0932712968833185,-0.0163790523951022,-0.000704751829085507,-0.02528811866454977,4.886302995448472e-05,2.84406457279507e-05,-0.06923638379931643,-0.00239537991221577,0.00020935435633010537,-0.11278305034588396,0.002660917971137461,3.6777129903750195e-05,-0.0034986426176325212,8.560226615741984e-06,-1.519304523361826e-06
CT_06,-0.35138288747596047,-0.05777186420583902,0.0017877229214987454,0.17117927599982052,-0.02151864011287738,0.0005393168438065979,-0.005575260946180603,0.0005989461950268351,-1.2942745541676283e-05,3.967833804874022,-0.15665215726197843,0.0009290409762759015,1.008253811176235,-0.013495586202179166,-0.00045392036163487246,-0.024851103638984254,4.910161507304044e-05,3.166519862554223e-05,-0.06412713165442771,-0.0023098674782525636,0.00021308842657657466,-0.09617641427256413,0.0034267358046600363,4.028814855849613e-05,-0.0034048474784206828,8.590374009290766e-06,-1.485323366332089e-06
CT_07,-0.3481332833235411,-0.05274290537358017,0.0022375262443660804,0.18386354159347637,-0.020450858780126632,0.0005165374544476373,-0.005497182928870767,0.0006043060591571296,-1.302086019293264e-05,3.203486564102333,-0.1434837330832133,0.001217402288751107,1.5862432220220417,-0.017613437154905588,-0.0008052898051113014,-0.023858339288774757,4.892170037580543e-05,2.8707777768006908e-05,-0.0657576730067124,-0.0023127214482866485,0.0002313458537643035,-0.09910648526835178,0.002883708820643936,3.7275163402583515e-05,-0.003424674418111517,8.56736499916473e-06,-1.5150634737732274e-06
