tower,status,n_compared,max_abs_delta_K,p999_abs_delta_K,median_abs_delta_K,inadmissible_pct,multivalued_pct,in_domain_pct,samples_over_1e6_K,rmse_python,rmse_fmu,rmse_delta_K
CT_01,ok,36764,0.012317173173169493,5.499261792607517e-09,1.6777583766725002e-09,0.03806623524933384,0.0,43.305780629724296,3,0.7507434467726328,0.7507470759318633,3.6291592304671383e-06
CT_02,ok,1443,4.706890877059777e-09,4.252257483017273e-09,1.1107701425316918e-09,0.0,0.0,76.29937629937629,0,0.24345601880200843,0.2434560187534091,-4.859931901357584e-11
CT_03,ok,41877,0.15830891706825057,4.778144358397224e-09,1.2616148126198823e-09,0.0,0.0,14.170069489218426,10,0.5886069246617843,0.5887779262330815,0.00017100157129712468
CT_04,ok,3515,4.7427342053651955e-09,4.561329689067859e-09,1.3162697598545492e-09,0.0,0.0,75.87482219061167,0,0.41541403224507173,0.4154140322783899,3.3318181547059567e-11
CT_05,ok,10519,0.002556120048900823,0.001732538113796451,1.3385985653258103e-09,0.0,0.0,96.70120733910068,170,0.4528494355899586,0.4527972305590387,-5.220503091990514e-05
CT_06,ok,5111,4.364505201692737e-09,4.122130654593551e-09,1.2848886399297044e-09,0.0,0.0,2.4457053414204655,0,0.28349233638558974,0.28349233632018206,-6.540767927276647e-11
CT_07,ok,28808,4.886558713224076e-09,4.432179082414221e-09,1.2771987911719407e-09,0.0,0.0,99.96528742016106,0,0.3400104547449546,0.3400104547456713,7.167044735467698e-13
