device,family,order,name,category,kind,removed,remaining,retained_pct
CT_07,cooling_tower,0,raw records,source,,0,105120,100.0
CT_07,cooling_tower,1,entering water temperature present,missing_channel,gate,10241,94879,90.257800608828
CT_07,cooling_tower,2,wet-bulb temperature present,missing_channel,gate,8592,86287,82.08428462709284
CT_07,cooling_tower,3,attributed flow present,missing_channel,gate,0,86287,82.08428462709284
CT_07,cooling_tower,4,active fan count present,missing_channel,gate,56974,29313,27.88527397260274
CT_07,cooling_tower,5,leaving water temperature present,missing_reference,gate,488,28825,27.421042617960428
CT_07,cooling_tower,6,total water flow above 1 kg/s,operating_state,gate,2,28823,27.4191400304414
CT_07,cooling_tower,7,fans running,operating_state,gate,0,28823,27.4191400304414
CT_07,cooling_tower,8,leaving water hotter than entering (range <= 0),physically_impossible,quarantine,0,28823,27.4191400304414
CT_07,cooling_tower,9,leaving water at or below wet bulb (approach <= 0),physically_impossible,quarantine,2,28821,27.417237442922374
