device,family,n_total,n_retained,retained_pct,removed_by_gate,removed_by_quarantine
CDWP_01,pump,105120,29549,28.109779299847794,75571,0
CDWP_02,pump,105120,2370,2.2545662100456623,102750,0
CDWP_03,pump,105120,51488,48.98021308980213,53632,0
CHWP_01,pump,105120,36794,35.00190258751903,68326,0
CHWP_02,pump,105120,2396,2.2792998477929984,102724,0
CHWP_03,pump,105120,47055,44.76312785388128,58065,0
HXCWP_01,pump,105120,31857,30.305365296803654,73263,0
HXCWP_02,pump,105114,29030,27.61763418764389,76084,0
HXCWP_03,pump,105120,2423,2.304984779299848,102697,0
