tower,n_identification,n_selection,n_test,merkel_identification_RMSE,merkel_selection_RMSE,merkel_test_RMSE,merkel_test_Q_CVRMSE,merkel_test_P_CVRMSE,york_identification_RMSE,york_selection_RMSE,york_test_RMSE,york_multivalued_pct,york_test_Q_CVRMSE,york_test_P_CVRMSE,york_test_in_domain_pct,delta_K,selected
CT_01,8394,5726.0,17903,0.6847405815366848,0.9156708617369314,0.7615624918453557,38.233343906931935,15.864083891551996,0.3592130063993144,0.5698788760224247,0.5191003967367261,0.0,21.453362257017687,15.86919441472092,48.16511199240351,-0.2424620951086296,YorkCalc27
CT_03,6958,11500.0,16589,0.5939799055459651,0.3495094898135823,0.4317807294065743,17.13509721419425,11.998058463447707,0.4277830551053387,0.3503002904483694,0.4551091284223251,0.0,18.35121457758509,11.924014271788424,5.871360540116945,0.02332839901575079,Merkel
CT_05,889,4380.0,3643,0.5056311433870483,0.7757134345783488,0.3301196082716727,10.567255323807585,26.49466422723022,0.2343064632373276,0.7396500677928634,0.5225277063137994,0.0,17.35286747059928,27.39710161582917,99.34120230579194,0.19240809804212672,Merkel
CT_07,3729,5621.0,13091,0.2816790194347291,0.4406952599100509,0.3794334191375847,12.724339410210074,24.255154428843888,0.2401701560420265,0.353905470414411,0.3331462679130958,0.0,11.476924307609654,30.26261150295073,99.93888931326865,-0.0462871512244889,YorkCalc27
