site,device,equipment,n_mapped_channels,n_independent_signals,n_dead,n_synthetic_roles,independent_roles,synthetic_roles
hkust,chiller_ch_06,chiller,8,8,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal,
hkust,chiller_ch_07,chiller,8,8,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal,
hkust,chiller_ch_08,chiller,8,7,0,2,power_W|chw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal,chw_flow_m3_h|cw_flow_m3_h
hkust,chiller_ch_09,chiller,8,8,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal,
hkust,cooling_tower_ct1,cooling_tower,5,3,0,3,power_W|run_signal|fan1_Hz,attributed_flow_m3_h|fan1_Hz|fan2_Hz
hkust,cooling_tower_ct2,cooling_tower,5,2,0,4,power_W|run_signal,attributed_flow_m3_h|fan1_Hz|fan2_Hz|power_W
hkust,cooling_tower_ct3,cooling_tower,5,3,0,3,power_W|run_signal|fan1_Hz,attributed_flow_m3_h|fan1_Hz|fan2_Hz
hkust,cooling_tower_ct4,cooling_tower,5,3,0,3,power_W|run_signal|fan1_Hz,attributed_flow_m3_h|fan1_Hz|fan2_Hz
hkust,pump_ct1,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_ct2,pump,5,3,0,3,power_W|run_signal|head_m,flow_m3_h|power_W|speed_Hz
hkust,pump_ct3,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_ct4,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_cwp10,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_cwp11,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_cwp12,pump,5,3,0,3,power_W|run_signal|head_m,flow_m3_h|power_W|speed_Hz
hkust,pump_cwp13,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_cwp14,pump,5,3,2,0,power_W|run_signal|head_m,
