tower,split_status,n_identification,n_selection,n_test,ratWatAir,fan_alpha,PFan_nominal,identification_y_min,identification_y_max,test_y_min,test_y_max,identification_TOut_RMSE,identification_TOut_N,identification_TOut_CVRMSE_pct,identification_TOut_NMBE_pct,identification_Q_RMSE,identification_Q_N,identification_Q_CVRMSE_pct,identification_Q_NMBE_pct,identification_P_RMSE,identification_P_N,identification_P_CVRMSE_pct,identification_P_NMBE_pct,selection_TOut_RMSE,selection_TOut_N,selection_TOut_CVRMSE_pct,selection_TOut_NMBE_pct,selection_Q_RMSE,selection_Q_N,selection_Q_CVRMSE_pct,selection_Q_NMBE_pct,selection_P_RMSE,selection_P_N,selection_P_CVRMSE_pct,selection_P_NMBE_pct,test_TOut_RMSE,test_TOut_N,test_TOut_CVRMSE_pct,test_TOut_NMBE_pct,test_Q_RMSE,test_Q_N,test_Q_CVRMSE_pct,test_Q_NMBE_pct,test_P_RMSE,test_P_N,test_P_CVRMSE_pct,test_P_NMBE_pct,note
CT_01,full_split,8394,5726.0,17903,0.8,2.5,8317.576868532735,0.5,1.0,0.349079360961914,1.0,0.6847405815366848,8394.0,2.8117523204905654,-0.2512288220902813,964984.7634244178,8394.0,39.69164695529223,0.4092912873000006,957.5512802988103,8394.0,14.393671883527725,-1.5744356402588495,0.9156708617369314,5726.0,4.917666996091319,0.618400588015134,1298261.5668721946,5726.0,42.70966604956479,-8.500072206512144,2459.6332379575974,5726.0,16.360165913851805,-9.450569147259184,0.7615624918453557,17903.0,3.490775489513667,-0.6681412791142333,1025444.0207477,17903.0,38.233343906931935,2.3966621744255345,1803.6441650941013,17903.0,15.864083891551997,-7.3158056564686635,
CT_02,blocked_insufficient_identification,0,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degraded: no scored test segment
CT_03,full_split,6958,11500.0,16589,1.5,2.5,7610.323827417802,0.6,1.0,0.469448127746582,1.0,0.5939799055459651,6958.0,2.249474726152369,0.18492248882670412,321429.8067431757,6958.0,13.806949850728277,0.9602312698937975,936.6236178532384,6958.0,16.181498519639852,-3.023527856771822,0.3495094898135823,11500.0,1.2505946156439545,0.18873483290935894,320735.3000884844,11500.0,14.452468500039934,-2.2654077595613695,706.7099676956817,11500.0,11.38921528559499,-3.128664543942763,0.43178072940657436,16589.0,1.5362640306868551,-0.11521420653909308,400798.41953453165,16589.0,17.13509721419425,1.2235352372247124,679.6553177868378,16589.0,11.998058463447707,-2.417448437732765,
CT_04,blocked_insufficient_identification,284,,2109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degraded: no scored test segment
CT_05,full_split,889,4380.0,3643,0.8,2.0,8262.536350416394,0.6,1.0,0.5,1.0,0.5056311433870483,889.0,2.648937578119828,-0.11120001091011507,483010.1476412077,889.0,20.47292779479885,-0.2251025807002144,888.3864162560798,889.0,8.402651437049645,3.538249132794634,0.7757134345783488,4380.0,3.005084516738156,0.5284631387760983,514124.89701705246,4380.0,24.232753844080474,-2.1073758556614353,1411.9789807240961,4380.0,22.246204356857113,17.687511991702877,0.33011960827167275,3643.0,1.1628979282490535,0.15340253265202733,274002.58737375995,3643.0,10.567255323807585,-1.5112345681961266,1379.9421304797538,3643.0,26.49466422723022,25.13745188983043,
CT_06,identification_only,1105,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degraded: no scored test segment
CT_07,full_split,3729,5621.0,13091,0.8,1.6,22293.491829691524,0.622602424621582,0.823857345581054,0.1532749599880644,1.0,0.2816790194347291,3729.0,0.9019245734065842,-0.18382537610043956,234783.80644492144,3729.0,8.73390927796474,1.781045333029729,2117.667678512016,3729.0,7.763694695857753,1.3511656086290285,0.4406952599100509,5621.0,1.5835518783714206,-0.7889952534893048,338095.71954542055,5621.0,14.897078769419538,7.483299183142981,10470.171341444997,5621.0,29.73394072319813,-13.30539779887929,0.37943341913758477,13091.0,1.3402343550860025,-0.4910050046406492,296034.73258031753,13091.0,12.724339410210074,4.634239475225413,8074.54503756581,13091.0,24.255154428843888,-10.193527108768826,
