tower,fan_alpha,PFan_nominal,n_identification,n_test,identification_TOut_RMSE,identification_TOut_N,identification_TOut_CVRMSE_pct,identification_TOut_NMBE_pct,identification_Q_RMSE,identification_Q_N,identification_Q_CVRMSE_pct,identification_Q_NMBE_pct,identification_P_RMSE,identification_P_N,identification_P_CVRMSE_pct,identification_P_NMBE_pct,identification_in_domain_pct,selection_TOut_RMSE,selection_TOut_N,selection_TOut_CVRMSE_pct,selection_TOut_NMBE_pct,selection_Q_RMSE,selection_Q_N,selection_Q_CVRMSE_pct,selection_Q_NMBE_pct,selection_P_RMSE,selection_P_N,selection_P_CVRMSE_pct,selection_P_NMBE_pct,selection_in_domain_pct,test_TOut_RMSE,test_TOut_N,test_TOut_CVRMSE_pct,test_TOut_NMBE_pct,test_Q_RMSE,test_Q_N,test_Q_CVRMSE_pct,test_Q_NMBE_pct,test_P_RMSE,test_P_N,test_P_CVRMSE_pct,test_P_NMBE_pct,test_in_domain_pct
CT_01,2.5,8317.576868532735,8394,17903,0.3592130064347967,8394,1.475037454515642,-0.0879941143316611,426707.4584444315,8394,17.551284160864338,0.7944953854240256,991.5366535749537,8394,14.90453153338728,1.932100390338916,61.567786514176795,0.5698788759848377,5726,3.060569749794434,0.5131796861973921,781441.5529196855,5726,25.70753738236375,-6.512439434994843,2413.6458701079696,5726,16.054282517762243,-8.409724074355896,20.398183723367097,0.519094703965029,17903,2.37937541402109,-0.7827898736913731,575393.6172819186,17903,21.453362257017687,4.688770168586754,1804.225198663844,17903,15.86919441472092,-5.594943133208673,48.16511199240351
CT_03,2.5,7610.323827417802,6958,16589,0.4288438617300954,6958,1.6240842820107484,-0.10660591497363958,313902.6311485754,6958,13.483621603714424,-0.29646198275003816,914.8909564511478,6958,15.80603603758992,-1.6475113215088595,31.805116412762285,0.35029815916977824,11500,1.2534165866608447,0.5265993588309489,339514.63312741125,11500,15.298673202553106,-5.848781356012639,685.7287075965837,11500,11.051084936293632,-1.5846896217512614,9.504347826086956,0.455137902214184,16589,1.6193682129698022,0.06249864625897758,429244.0076232754,16589,18.351214577585086,-1.0062834527874513,675.4609284391136,16589,11.924014271788424,-0.8581108364847144,5.871360540116945
CT_05,2.0,8262.536350416394,889,3643,0.23430411128168105,889,1.2274895903848968,-0.11064858457007724,217180.7855005161,889,9.20545160734927,0.4160418185888676,991.3004984195993,889,9.376046735041996,5.616377439039183,99.8875140607424,0.7396494956159595,4380,2.8653741807332427,0.4731480386993317,650329.1893779535,4380,30.65260456214327,-6.498410129072674,1494.9443489300422,4380,23.553351673387894,19.47889836037013,91.84931506849315,0.5225263388375985,3643,1.8406807159111356,-0.16220996932531964,449949.43716235814,3643,17.35286747059928,2.081060730492343,1426.9444763848562,3643,27.39710161582917,26.30181342397779,99.34120230579194
CT_07,1.2,19710.527448580793,3729,13091,0.24017015596659846,3729,0.7690149088841222,-0.006282726859445122,199993.27724726306,3729,7.439708752188638,-0.09258361230184613,2179.2820132780057,3729,7.989582302711929,0.8569666232281455,99.97318315902388,0.35390547044986564,5621,1.2716898126183462,0.31157146833902244,285356.33067586756,5621,12.573290608785252,-3.488991448526148,12920.501092039602,5621,36.69256223763971,-16.302879869934493,100.0,0.33314626792663143,13091,1.1767389244700561,0.3609916205687847,267013.3284500053,13091,11.476924307609654,-3.686805307461101,10074.428519999325,13091,30.262611502950726,-12.779225714378544,99.93888931326865
