family,device,selected_model,metric_label,test_n,test_error,test_nmbe_pct,test_skill,selection_skill,driver,driver_excitation
chiller,CH-01,ElectricEIR,Electrical power CVRMSE (%),283,5.986305488930062,-1.4976504396134371,0.1209095516241889,0.1102579106482794,cooling_load_W,0.619128747119714
chiller,CH-03,ElectricReformulatedEIR,Electrical power CVRMSE (%),282,4.48685041388592,-0.1012312733380558,0.2206465187860823,0.1046132042849941,cooling_load_W,0.8098546191682326
chiller,CH-07,ElectricEIR,Electrical power CVRMSE (%),284,5.339348014726271,0.2869794571518609,0.2133272716479821,0.1541639999723139,cooling_load_W,0.4983253371986902
cooling_tower,CT-01,YorkCalc (27-coefficient),Leaving-water-temperature RMSE (K),17894,0.5178462343888118,0.1212061096273165,0.0975180647058919,0.1875776635008066,fan1_Hz,0.5101566352217503
cooling_tower,CT-03,Merkel,Leaving-water-temperature RMSE (K),16568,0.4116446428300604,0.0403767541490804,0.1104386333147091,0.096345750206035,fan1_Hz,0.6566964089435052
cooling_tower,CT-05,Merkel,Leaving-water-temperature RMSE (K),3645,0.3087091067544187,0.1782773838015702,0.085117466033032,0.1362958355907512,fan1_Hz,0.547478151483259
cooling_tower,CT-07,YorkCalc (27-coefficient),Leaving-water-temperature RMSE (K),13089,0.3306477442569789,-0.3641183250403224,0.0896204086547771,0.1077367036399515,fan1_Hz,0.4001662916783209
pump,CDWP-01,Speed polynomial,Electrical power CVRMSE (%),976,9.276183024084592,0.7809018875289007,1.4131089220532107,0.9413078919481918,speed_Hz,0.0011598207761585
pump,CDWP-03,Cubic affinity,Electrical power CVRMSE (%),790,9.97740536783599,-0.3248808677922686,0.6000726485463815,0.2475943629170793,speed_Hz,0.3076854061890528
pump,CDWP-05,Cubic affinity,Electrical power CVRMSE (%),1041,7.141243738452582,0.454489340991272,0.7136382057533653,1.214282304764477,speed_Hz,0.0020273319644185
pump,CDWP-07,Speed polynomial,Electrical power CVRMSE (%),911,3.0389962744336847,0.2043014494683681,2.313130847137066,1.0257026591806615,speed_Hz,0.0007998323024405
pump,CHWP-01,Cubic affinity,Electrical power CVRMSE (%),995,13.979030121491276,-2.262839023292046,0.6252892283748779,0.6953313279095565,speed_Hz,0.0548538976366831
pump,CHWP-03,Cubic affinity,Electrical power CVRMSE (%),763,6.309124906616191,-0.8964994875036693,0.8129671128364786,0.9179693610989904,speed_Hz,0.0475748968943923
pump,CHWP-05,Speed polynomial,Electrical power CVRMSE (%),893,15.649832049641535,-1.3434343851195902,0.7498815682504384,1.0111796226473366,speed_Hz,0.0631054949564736
pump,CHWP-07,Cubic affinity,Electrical power CVRMSE (%),833,8.689090193537325,-5.637172461785373,1.081774329028307,1.077227722945192,speed_Hz,0.055045075261409
pump,HXCWP-01,Cubic affinity,Electrical power CVRMSE (%),896,8.489873968373521,0.319867918173165,1.19959510626211,1.3122624266690537,speed_Hz,0.0017478488882597
pump,HXCWP-02,Cubic affinity,Electrical power CVRMSE (%),890,7.425248957382421,2.275447263974602,1.0305087595079625,1.3275813730429262,speed_Hz,0.0010360012980367
heat_exchanger,HX-01,ConstantEffectiveness,Reconstructed-heat CVRMSE (%),8326,9.329780618998209,2.0202239733535468,0.1819590781141264,0.1884359932316651,,
heat_exchanger,HX-02,PlateHeatExchangerEffectivenessNTU,Reconstructed-heat CVRMSE (%),9909,7.971526794770151,-4.27073775566619,0.1640252841718695,0.1313699379664082,,
